"sex_age"	"estimate"	"iter"	"population"
"Female_Adult"	0.6794759	99	"SP"
"Female_Juvenile"	0.1159985	99	"SP"
"Male_Adult"	0.7467033	99	"SP"
"Male_Juvenile"	0.1822991	99	"SP"
"Female_Adult"	0.6804356	100	"SP"
"Female_Juvenile"	0.088353	100	"SP"
"Male_Adult"	0.664033	100	"SP"
"Male_Juvenile"	0.1532219	100	"SP"
"Female_Adult"	0.6240327	101	"SP"
"Female_Juvenile"	0.0603732	101	"SP"
"Male_Adult"	0.7034091	101	"SP"
"Male_Juvenile"	0.2166491	101	"SP"
"Female_Adult"	0.7142736	102	"SP"
"Female_Juvenile"	0.0987302	102	"SP"
"Male_Adult"	0.7353305	102	"SP"
"Male_Juvenile"	0.1492459	102	"SP"
"Female_Adult"	0.6998689	103	"SP"
"Female_Juvenile"	0.0823744	103	"SP"
"Male_Adult"	0.677542	103	"SP"
"Male_Juvenile"	0.1373589	103	"SP"
"Female_Adult"	0.6979167	104	"SP"
"Female_Juvenile"	0.0653311	104	"SP"
"Male_Adult"	0.683703	104	"SP"
"Male_Juvenile"	0.1965862	104	"SP"
"Female_Adult"	0.6880337	105	"SP"
"Female_Juvenile"	0.0565083	105	"SP"
"Male_Adult"	0.7031227	105	"SP"
"Male_Juvenile"	0.1053798	105	"SP"
"Female_Adult"	0.6690807	106	"SP"
"Female_Juvenile"	0.1081644	106	"SP"
"Male_Adult"	0.6698416	106	"SP"
"Male_Juvenile"	0.1216404	106	"SP"
"Female_Adult"	0.6973353	107	"SP"
"Female_Juvenile"	0.0831775	107	"SP"
"Male_Adult"	0.670944	107	"SP"
"Male_Juvenile"	0.1476793	107	"SP"
"Female_Adult"	0.7459698	108	"SP"
"Female_Juvenile"	0.0796712	108	"SP"
"Male_Adult"	0.6835282	108	"SP"
"Male_Juvenile"	0.0995988	108	"SP"
"Female_Adult"	0.6433172	109	"SP"
"Female_Juvenile"	0.0930525	109	"SP"
"Male_Adult"	0.6753129	109	"SP"
"Male_Juvenile"	0.1679415	109	"SP"
