"Sex_Age" "estimate" "iter" "population"
"Female_Juvenile" 0.1255515 91 "SP"
"Male_Juvenile" 0.2047254 91 "SP"
"Female_Adult" 0.7038462 92 "SP"
"Male_Adult" 0.7118453 92 "SP"
"Female_Juvenile" 0.1329692 92 "SP"
"Male_Juvenile" 0.2097055 92 "SP"
"Female_Adult" 0.718352 93 "SP"
"Male_Adult" 0.6898071 93 "SP"
"Female_Juvenile" 0.2179663 93 "SP"
"Male_Juvenile" 0.2133749 93 "SP"
"Female_Adult" 0.7208539 94 "SP"
"Male_Adult" 0.727775 94 "SP"
"Female_Juvenile" 0.1234916 94 "SP"
"Male_Juvenile" 0.2140485 94 "SP"
"Female_Adult" 0.7016448 95 "SP"
"Male_Adult" 0.6394839 95 "SP"
"Female_Juvenile" 0.1608153 95 "SP"
"Male_Juvenile" 0.2806121 95 "SP"
"Female_Adult" 0.6708011 96 "SP"
"Male_Adult" 0.657881 96 "SP"
"Female_Juvenile" 0.1807265 96 "SP"
"Male_Juvenile" 0.2608616 96 "SP"
"Female_Adult" 0.6522693 97 "SP"
"Male_Adult" 0.701672 97 "SP"
"Female_Juvenile" 0.1599046 97 "SP"
"Male_Juvenile" 0.1524843 97 "SP"
"Female_Adult" 0.6985818 98 "SP"
"Male_Adult" 0.6817786 98 "SP"
"Female_Juvenile" 0.1444106 98 "SP"
"Male_Juvenile" 0.245519 98 "SP"
"Female_Adult" 0.7420452 99 "SP"
"Male_Adult" 0.6909871 99 "SP"
"Female_Juvenile" 0.1293482 99 "SP"
"Male_Juvenile" 0.2117534 99 "SP"
"Female_Adult" 0.6626837 100 "SP"
"Male_Adult" 0.7024022 100 "SP"
"Female_Juvenile" 0.1661727 100 "SP"
"Male_Juvenile" 0.2169069 100 "SP"
"Female_Adult" 0.6531188 101 "SP"
"Male_Adult" 0.7014482 101 "SP"
"Female_Juvenile" 0.1314821 101 "SP"
"Male_Juvenile" 0.2880232 101 "SP"
"Female_Adult" 0.6871798 102 "SP"
"Male_Adult" 0.6828907 102 "SP"
"Female_Juvenile" 0.1382038 102 "SP"
"Male_Juvenile" 0.2126943 102 "SP"
"Female_Adult" 0.7020692 103 "SP"
"Male_Adult" 0.7008711 103 "SP"
"Female_Juvenile" 0.1867092 103 "SP"
"Male_Juvenile" 0.2654508 103 "SP"
"Female_Adult" 0.7288597 104 "SP"
"Male_Adult" 0.6993155 104 "SP"
"Female_Juvenile" 0.1205086 104 "SP"
"Male_Juvenile" 0.2360919 104 "SP"
"Female_Adult" 0.6728458 105 "SP"
"Male_Adult" 0.719539 105 "SP"
"Female_Juvenile" 0.1693791 105 "SP"
"Male_Juvenile" 0.2334312 105 "SP"
"Female_Adult" 0.6960484 106 "SP"
"Male_Adult" 0.7386233 106 "SP"
"Female_Juvenile" 0.1156098 106 "SP"
"Male_Juvenile" 0.2597085 106 "SP"
"Female_Adult" 0.6923457 107 "SP"
"Male_Adult" 0.6491819 107 "SP"
"Female_Juvenile" 0.1597327 107 "SP"
"Male_Juvenile" 0.2286057 107 "SP"
"Female_Adult" 0.6812904 108 "SP"
"Male_Adult" 0.7099482 108 "SP"
"Female_Juvenile" 0.1751848 108 "SP"
"Male_Juvenile" 0.2214091 108 "SP"
"Female_Adult" 0.6996693 109 "SP"
"Male_Adult" 0.7448288 109 "SP"
"Female_Juvenile" 0.1835888 109 "SP"
"Male_Juvenile" 0.2545013 109 "SP"
"Female_Adult" 0.671848 110 "SP"
"Male_Adult" 0.7164366 110 "SP"
"Female_Juvenile" 0.1613661 110 "SP"
"Male_Juvenile" 0.2294468 110 "SP"
"Female_Adult" 0.6681027 111 "SP"
"Male_Adult" 0.7094796 111 "SP"
"Female_Juvenile" 0.1215294 111 "SP"
"Male_Juvenile" 0.2278023 111 "SP"
"Female_Adult" 0.7202608 112 "SP"
"Male_Adult" 0.6647506 112 "SP"
"Female_Juvenile" 0.1318828 112 "SP"
"Male_Juvenile" 0.2538243 112 "SP"
"Female_Adult" 0.6403244 113 "SP"
"Male_Adult" 0.6924898 113 "SP"
"Female_Juvenile" 0.1653698 113 "SP"
"Male_Juvenile" 0.2291051 113 "SP"
"Female_Adult" 0.7090258 114 "SP"
"Male_Adult" 0.6881791 114 "SP"
"Female_Juvenile" 0.1833481 114 "SP"
"Male_Juvenile" 0.206036 114 "SP"
"Female_Adult" 0.7207817 115 "SP"
"Male_Adult" 0.6577427 115 "SP"
"Female_Juvenile" 0.1384926 115 "SP"
"Male_Juvenile" 0.2416461 115 "SP"
"Female_Adult" 0.7138733 116 "SP"
"Male_Adult" 0.6894964 116 "SP"
"Female_Juvenile" 0.1585676 116 "SP"
"Male_Juvenile" 0.2851852 116 "SP"
"Female_Adult" 0.7265047 117 "SP"
"Male_Adult" 0.7279907 117 "SP"
"Female_Juvenile" 0.1402356 117 "SP"
"Male_Juvenile" 0.2228944 117 "SP"
"Female_Adult" 0.728653 118 "SP"
"Male_Adult" 0.6866497 118 "SP"
"Female_Juvenile" 0.1804447 118 "SP"
"Male_Juvenile" 0.2115352 118 "SP"
"Female_Adult" 0.6712578 119 "SP"
"Male_Adult" 0.658212 119 "SP"
"Female_Juvenile" 0.1672073 119 "SP"
"Male_Juvenile" 0.2043604 119 "SP"
"Female_Adult" 0.6830896 120 "SP"
"Male_Adult" 0.7278578 120 "SP"
"Female_Juvenile" 0.1710427 120 "SP"
"Male_Juvenile" 0.2249317 120 "SP"
"Female_Adult" 0.6798365 121 "SP"
"Male_Adult" 0.6686736 121 "SP"
"Female_Juvenile" 0.1622538 121 "SP"
"Male_Juvenile" 0.2395054 121 "SP"
"Female_Adult" 0.7033186 122 "SP"
"Male_Adult" 0.6955823 122 "SP"
"Female_Juvenile" 0.155159 122 "SP"
"Male_Juvenile" 0.2297698 122 "SP"
"Female_Adult" 0.6310092 123 "SP"
"Male_Adult" 0.6855554 123 "SP"
"Female_Juvenile" 0.1735495 123 "SP"
"Male_Juvenile" 0.1940307 123 "SP"
"Female_Adult" 0.6687916 124 "SP"
"Male_Adult" 0.6965017 124 "SP"
"Female_Juvenile" 0.1591663 124 "SP"
"Male_Juvenile" 0.2439862 124 "SP"
"Female_Adult" 0.6624298 125 "SP"
"Male_Adult" 0.7062241 125 "SP"
"Female_Juvenile" 0.180543 125 "SP"
"Male_Juvenile" 0.244173 125 "SP"
"Female_Adult" 0.6378873 126 "SP"
"Male_Adult" 0.6954835 126 "SP"
"Female_Juvenile" 0.1757516 126 "SP"
"Male_Juvenile" 0.2063106 126 "SP"
"Female_Adult" 0.6830054 127 "SP"
"Male_Adult" 0.6995588 127 "SP"
"Female_Juvenile" 0.1448418 127 "SP"
"Male_Juvenile" 0.2231606 127 "SP"
"Female_Adult" 0.7471267 128 "SP"
"Male_Adult" 0.6784346 128 "SP"
"Female_Juvenile" 0.1235157 128 "SP"
"Male_Juvenile" 0.2783503 128 "SP"
"Female_Adult" 0.6069815 129 "SP"
"Male_Adult" 0.7096426 129 "SP"
"Female_Juvenile" 0.1468818 129 "SP"
"Male_Juvenile" 0.1934318 129 "SP"
"Female_Adult" 0.7016876 130 "SP"
"Male_Adult" 0.7197242 130 "SP"
"Female_Juvenile" 0.1767004 130 "SP"
"Male_Juvenile" 0.2073904 130 "SP"
"Female_Adult" 0.6796691 131 "SP"
"Male_Adult" 0.7395454 131 "SP"
"Female_Juvenile" 0.1671878 131 "SP"
"Male_Juvenile" 0.2053194 131 "SP"
"Female_Adult" 0.7037487 132 "SP"
"Male_Adult" 0.6731857 132 "SP"
"Female_Juvenile" 0.1393894 132 "SP"
"Male_Juvenile" 0.2705269 132 "SP"
"Female_Adult" 0.6360437 133 "SP"
"Male_Adult" 0.6787164 133 "SP"
"Female_Juvenile" 0.1467746 133 "SP"
"Male_Juvenile" 0.2162206 133 "SP"
"Female_Adult" 0.7163184 134 "SP"
"Male_Adult" 0.6989863 134 "SP"
"Female_Juvenile" 0.1520795 134 "SP"
"Male_Juvenile" 0.2179446 134 "SP"
"Female_Adult" 0.6691101 135 "SP"
"Male_Adult" 0.6329473 135 "SP"
"Female_Juvenile" 0.1707008 135 "SP"
"Male_Juvenile" 0.2094346 135 "SP"
"Female_Adult" 0.6480332 136 "SP"
"Male_Adult" 0.71789 136 "SP"
"Female_Juvenile" 0.1968591 136 "SP"
"Male_Juvenile" 0.2493948 136 "SP"
"Female_Adult" 0.7375861 137 "SP"
"Male_Adult" 0.6979077 137 "SP"
"Female_Juvenile" 0.1380794 137 "SP"
"Male_Juvenile" 0.2554825 137 "SP"
"Female_Adult" 0.715171 138 "SP"
"Male_Adult" 0.7186251 138 "SP"
"Female_Juvenile" 0.1796149 138 "SP"
"Male_Juvenile" 0.2454214 138 "SP"
"Female_Adult" 0.6726833 139 "SP"
"Male_Adult" 0.7177398 139 "SP"
"Female_Juvenile" 0.1388187 139 "SP"
"Male_Juvenile" 0.2574699 139 "SP"
"Female_Adult" 0.6619983 140 "SP"
"Male_Adult" 0.6973574 140 "SP"
"Female_Juvenile" 0.1280352 140 "SP"
"Male_Juvenile" 0.2219838 140 "SP"
"Female_Adult" 0.6786542 141 "SP"
"Male_Adult" 0.7282991 141 "SP"
"Female_Juvenile" 0.1896298 141 "SP"
"Male_Juvenile" 0.2215529 141 "SP"
"Female_Adult" 0.6815698 142 "SP"
"Male_Adult" 0.6658236 142 "SP"
"Female_Juvenile" 0.1608122 142 "SP"
"Male_Juvenile" 0.2347738 142 "SP"
"Female_Adult" 0.6700341 143 "SP"
"Male_Adult" 0.6991866 143 "SP"
"Female_Juvenile" 0.1779186 143 "SP"
"Male_Juvenile" 0.2898725 143 "SP"
"Female_Adult" 0.7175874 144 "SP"
"Male_Adult" 0.6761801 144 "SP"
"Female_Juvenile" 0.2166758 144 "SP"
"Male_Juvenile" 0.2346118 144 "SP"
"Female_Adult" 0.7112946 145 "SP"
"Male_Adult" 0.7215101 145 "SP"
"Female_Juvenile" 0.1441063 145 "SP"
"Male_Juvenile" 0.1987774 145 "SP"
"Female_Adult" 0.6901568 146 "SP"
"Male_Adult" 0.7046362 146 "SP"
"Female_Juvenile" 0.1616108 146 "SP"
"Male_Juvenile" 0.2139731 146 "SP"
"Female_Adult" 0.7034261 147 "SP"
"Male_Adult" 0.7411962 147 "SP"
"Female_Juvenile" 0.1459639 147 "SP"
"Male_Juvenile" 0.1951544 147 "SP"
"Female_Adult" 0.7017335 148 "SP"
"Male_Adult" 0.7040903 148 "SP"
"Female_Juvenile" 0.1598277 148 "SP"
"Male_Juvenile" 0.2291497 148 "SP"
"Female_Adult" 0.6950686 149 "SP"
"Male_Adult" 0.7097044 149 "SP"
"Female_Juvenile" 0.1686602 149 "SP"
"Male_Juvenile" 0.2364953 149 "SP"
"Female_Adult" 0.7295443 150 "SP"
"Male_Adult" 0.7010767 150 "SP"
"Female_Juvenile" 0.1371481 150 "SP"
"Male_Juvenile" 0.2577249 150 "SP"
"Female_Adult" 0.6555831 151 "SP"
"Male_Adult" 0.6728109 151 "SP"
"Female_Juvenile" 0.1317992 151 "SP"
"Male_Juvenile" 0.2066391 151 "SP"
"Female_Adult" 0.6701801 152 "SP"
"Male_Adult" 0.6707946 152 "SP"
