year,site,nest,ID,ring,age_sex,date,time,weight,bill,left_tarsus,right_tarsus,left_wing,right_wing,fat,blood,blood_tube,code,moult ,observer,comments,ages,zones,species,blood_bath,blood_madagascar,feather,slides,feacal
2006,B,6,2006_B_6,CA070,JM,605,1899-12-31 06:00:00,5.8,,18.4,18.3,,,,1,,MX.XX|YX.XX,,CK,,,,,,,,,
2006,B,6,2006_B_6,CA071,JF,605,1899-12-31 06:00:00,6.3,,17.7,17.7,,,,1,,MX.XX|YX.XX,,CK,,,,,,,,,
2006,B,5,2006_B_5,CA072,JF,605,1899-12-31 06:15:00,6.4,,17.5,17.5,,,,1,,MX.XX|LX.XX,,CK,,,,,,,,,
2006,B,5,2006_B_5,CA073,JM,605,1899-12-31 06:15:00,6.8,,18.2,18.2,,,,1,,MX.XX|LX.XX,,CK,,,,,,,,,
2006,C,111,2006_C_111,CA074,JF,605,1899-12-31 08:45:00,5.8,,17.8,17.8,,,,1,,MX.XX|OX.XX,,CK,"chick ringed a few days after hatching, risk of brood mixing",,,,,,,,
2006,A,103,2006_A_103,CA075,JF,605,1899-12-31 15:30:00,6.8,,18.9,18.8,,,,1,,MX.XX|RX.XX,,CK,,,,,,,,,
2006,A,103,2006_A_103,CA076,JM,605,1899-12-31 15:30:00,6.9,,18.8,18.9,,,,1,,MX.XX|RX.XX,,CK,,,,,,,,,
2006,B,5,2006_B_5,CA077,JM,605,1899-12-31 17:30:00,6.3,,18.2,18.3,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,D,113,2006_D_113,CA078,AM,605,1899-12-31 21:40:00,45,,25.9,25.9,108,108,3,1,,WX.MX|OX.YX,,CK,,,,,,,,,
2006,C,16,2006_C_16,CA114,AM,605,1899-12-31 22:00:00,37.25,,24.9,25,105,106,0,1,,YX.MX|LX.WX,,SQ,,,,,,,,,
2006,D,114,2006_D_114,CA079,AM,605,1899-12-31 22:10:00,42.25,,26,26,108,108,3,1,,WX.MX|OX.WX,,CK,,,,,,,,,
2006,D,107,2006_D_107,CA115,AM,605,1899-12-31 22:20:00,40.75,,25.8,25.8,108,108,0,1,,YX.MX|GX.YX,,SQ,,,,,,,,,
