"bird_ID" "ch" "sex" "age" "population"
"bird_47" "1011100" "M" "A" "SP"
"bird_48" "1111100" "M" "A" "SP"
"bird_50" "1000000" "F" "A" "SP"
"bird_51" "1110000" "F" "A" "SP"
"bird_52" "1000000" "F" "A" "SP"
"bird_53" "1111000" "M" "A" "SP"
"bird_54" "1110000" "F" "A" "SP"
"bird_55" "1100000" "F" "A" "SP"
"bird_58" "1001000" "F" "A" "SP"
"bird_59" "1010000" "F" "A" "SP"
"bird_60" "1110000" "F" "A" "SP"
"bird_61" "1101000" "F" "A" "SP"
"bird_65" "1000000" "F" "A" "SP"
"bird_66" "1111100" "M" "A" "SP"
"bird_67" "1100000" "M" "A" "SP"
"bird_69" "1111110" "M" "A" "SP"
"bird_70" "1111000" "M" "A" "SP"
"bird_71" "1000000" "M" "A" "SP"
"bird_74" "1111010" "F" "A" "SP"
"bird_75" "1100000" "F" "A" "SP"
"bird_76" "1000000" "F" "A" "SP"
"bird_79" "1000000" "F" "A" "SP"
"bird_80" "1000000" "M" "A" "SP"
"bird_82" "1000000" "M" "A" "SP"
"bird_83" "1110000" "M" "A" "SP"
"bird_84" "1111100" "F" "A" "SP"
"bird_87" "1000000" "F" "A" "SP"
"bird_88" "1111111" "M" "A" "SP"
"bird_89" "1000000" "M" "A" "SP"
"bird_90" "1001000" "M" "A" "SP"
"bird_91" "1110000" "M" "A" "SP"
"bird_92" "1111100" "M" "A" "SP"
"bird_94" "1110110" "M" "A" "SP"
"bird_97" "1110000" "M" "A" "SP"
"bird_98" "1000000" "M" "A" "SP"
"bird_100" "1100000" "F" "A" "SP"
"bird_101" "1111100" "F" "A" "SP"
"bird_102" "1001000" "M" "A" "SP"
"bird_103" "1000000" "F" "A" "SP"
"bird_104" "1000000" "M" "A" "SP"
"bird_105" "1000000" "M" "A" "SP"
"bird_106" "1100000" "M" "A" "SP"
"bird_107" "1100000" "M" "A" "SP"
"bird_116" "1111110" "M" "A" "SP"
"bird_117" "1000000" "M" "A" "SP"
"bird_118" "1000000" "M" "A" "SP"
"bird_119" "1111111" "F" "A" "SP"
"bird_128" "1000000" "M" "A" "SP"
"bird_129" "1010000" "M" "A" "SP"
"bird_130" "1111000" "M" "A" "SP"
"bird_134" "1100000" "M" "A" "SP"
"bird_135" "1100000" "F" "A" "SP"
"bird_137" "1100000" "F" "A" "SP"
"bird_142" "1100010" "F" "A" "SP"
"bird_151" "1011100" "F" "A" "SP"
"bird_162" "1010000" "M" "A" "SP"
"bird_195" "1011110" "M" "A" "SP"
"bird_206" "1111100" "M" "A" "SP"
"bird_215" "1100000" "M" "A" "SP"
"bird_224" "1111110" "M" "A" "SP"
"bird_245" "1111100" "F" "A" "SP"
"bird_255" "1100000" "F" "A" "SP"
"bird_264" "1000000" "M" "A" "SP"
"bird_275" "1100000" "M" "A" "SP"
"bird_295" "1000000" "F" "A" "SP"
"bird_326" "0111110" "M" "A" "SP"
"bird_332" "0100000" "M" "A" "SP"
"bird_334" "0100000" "M" "A" "SP"
"bird_336" "0100000" "F" "A" "SP"
"bird_342" "0111000" "F" "A" "SP"
"bird_345" "1000000" "F" "A" "SP"
"bird_348" "0111000" "M" "A" "SP"
"bird_349" "0111010" "M" "A" "SP"
"bird_350" "0100000" "M" "A" "SP"
"bird_351" "0100000" "M" "A" "SP"
"bird_354" "0100000" "M" "A" "SP"
"bird_355" "1111000" "M" "A" "SP"
"bird_356" "0111110" "M" "A" "SP"
"bird_360" "0111110" "M" "A" "SP"
"bird_377" "1111110" "F" "A" "SP"
"bird_379" "0100000" "F" "A" "SP"
"bird_380" "0100000" "F" "A" "SP"
"bird_381" "0111100" "F" "A" "SP"
"bird_382" "0111110" "F" "A" "SP"
"bird_383" "0100000" "F" "A" "SP"
"bird_384" "0100000" "F" "A" "SP"
"bird_385" "0100000" "F" "A" "SP"
"bird_386" "0110100" "M" "A" "SP"
"bird_387" "1100000" "F" "A" "SP"
"bird_388" "0111100" "M" "A" "SP"
"bird_390" "0100000" "F" "A" "SP"
"bird_391" "0111100" "F" "A" "SP"
"bird_392" "0111000" "F" "A" "SP"
"bird_393" "0110000" "F" "A" "SP"
"bird_394" "0100000" "F" "A" "SP"
"bird_395" "0100000" "F" "A" "SP"
"bird_396" "0111111" "F" "A" "SP"
"bird_399" "0111100" "M" "A" "SP"
"bird_400" "0100000" "F" "A" "SP"
"bird_401" "0111111" "M" "A" "SP"
"bird_402" "0101000" "F" "A" "SP"
"bird_407" "0100000" "F" "A" "SP"
"bird_409" "0101100" "F" "A" "SP"
"bird_410" "0100000" "F" "A" "SP"
"bird_427" "0101100" "F" "A" "SP"
"bird_428" "0100000" "F" "A" "SP"
"bird_429" "0110000" "F" "A" "SP"
"bird_431" "0111000" "M" "A" "SP"
"bird_432" "0111000" "M" "A" "SP"
