"bird_ID" "ch" "sex" "age" "population"
"bird_402" "0100000" "M" "J" "SP"
"bird_407" "0100000" "M" "J" "SP"
"bird_408" "0100110" "M" "J" "SP"
"bird_422" "0100000" "F" "J" "SP"
"bird_423" "0100000" "F" "J" "SP"
"bird_424" "0100000" "M" "J" "SP"
"bird_454" "0100000" "F" "J" "SP"
"bird_455" "0100000" "M" "J" "SP"
"bird_456" "0100000" "M" "J" "SP"
"bird_464" "0100000" "M" "J" "SP"
"bird_465" "0100000" "M" "J" "SP"
"bird_466" "0100000" "F" "J" "SP"
"bird_478" "0100000" "M" "J" "SP"
"bird_479" "0100000" "F" "J" "SP"
"bird_486" "0100000" "M" "J" "SP"
"bird_487" "0100000" "M" "J" "SP"
"bird_488" "0100000" "F" "J" "SP"
"bird_1" "1110000" "M" "A" "SP"
"bird_2" "1100000" "M" "A" "SP"
"bird_3" "1110000" "M" "A" "SP"
"bird_4" "1000000" "F" "A" "SP"
"bird_5" "1100000" "F" "A" "SP"
"bird_6" "1100000" "M" "A" "SP"
"bird_7" "1010000" "F" "A" "SP"
"bird_8" "1000000" "M" "A" "SP"
"bird_9" "1000000" "M" "A" "SP"
"bird_10" "1111100" "M" "A" "SP"
"bird_11" "1100000" "F" "A" "SP"
"bird_12" "1100000" "M" "A" "SP"
"bird_13" "1100000" "F" "A" "SP"
"bird_14" "1000000" "F" "A" "SP"
"bird_15" "1000000" "M" "A" "SP"
"bird_16" "1100000" "F" "A" "SP"
"bird_17" "1100000" "M" "A" "SP"
"bird_18" "1000000" "F" "A" "SP"
"bird_19" "1000000" "M" "A" "SP"
"bird_20" "1000000" "M" "A" "SP"
"bird_21" "1110000" "M" "A" "SP"
"bird_22" "1100000" "F" "A" "SP"
"bird_23" "1000000" "F" "A" "SP"
"bird_24" "1110000" "F" "A" "SP"
"bird_25" "1000000" "F" "A" "SP"
"bird_26" "1110000" "M" "A" "SP"
"bird_27" "1000000" "M" "A" "SP"
"bird_28" "1100000" "M" "A" "SP"
"bird_29" "1000000" "F" "A" "SP"
"bird_30" "1000000" "F" "A" "SP"
"bird_31" "1100000" "F" "A" "SP"
"bird_32" "1000000" "F" "A" "SP"
"bird_33" "1000000" "M" "A" "SP"
"bird_34" "1100000" "F" "A" "SP"
"bird_35" "1000000" "F" "A" "SP"
"bird_36" "1000000" "F" "A" "SP"
"bird_40" "1011100" "M" "A" "SP"
"bird_41" "1111100" "M" "A" "SP"
"bird_43" "1000000" "F" "A" "SP"
"bird_44" "1110000" "F" "A" "SP"
