"population" "no_chicks" "clutch_size" "year" "male" "female" "family_ID"
"WFP" 3 "3" 2013 "bird_4715" "bird_4342" "family_2792"
"WFP" 0 "2" 2013 "bird_4482" "bird_4347" "family_2788"
"MP" NA "1" 2013 "bird_4265" "bird_4604" "family_2074"
"MP" 0 "2" 2013 "bird_4115" "bird_4184" "family_2073"
"MP" NA "2" 2013 "bird_4334" "bird_4156" "family_2072"
"MP" 0 "1" 2013 "bird_4110" "bird_4055" "family_2071"
"MP" NA NA 2013 "bird_4110" "bird_4055" "family_2068"
"MP" 2 "2" 2013 "bird_5015" "bird_4923" "family_2081"
"MP" NA "2" 2013 "bird_4980" "bird_4816" "family_2080"
"MP" NA "2" 2013 "bird_4747" "bird_4111" "family_2079"
"MP" 0 "2" 2013 "bird_4131" "bird_4254" "family_2078"
"MP" NA "2" 2013 "bird_4035" "bird_4050" "family_2077"
"MP" 2 "2" 2013 "bird_4827" "bird_4417" "family_2076"
"MP" 2 "2" 2013 "bird_4869" "bird_4610" "family_2075"
"MP" 2 "2" 2013 "bird_4503" "bird_4532" "family_2069"
"MP" NA "2" 2013 "bird_4420" "bird_4040" "family_2067"
"MP" 2 "2" 2013 "bird_4188" "bird_4435" "family_2083"
"MP" 2 "2" 2013 "bird_4439" "bird_4440" "family_2082"
"MP" 1 "2" 2013 "bird_4175" "bird_4189" "family_2070"
"MP" 1 "2" 2013 "bird_4060" "bird_4062" "family_2066"
"KIP" 2 "2" 2013 "bird_5055" "bird_5039" "family_164"
"KIP" 2 "2" 2013 "bird_4942" "bird_4925" "family_162"
"KIP" 0 "2" 2013 "bird_4798" "bird_4915" "family_159"
"KIP" 1 "2" 2013 "bird_4781" "bird_4778" "family_158"
"KIP" NA "2" 2013 "bird_4765" "bird_4758" "family_157"
"KIP" 1 "2" 2013 "bird_4794" "bird_4750" "family_154"
"KIP" 0 "1" 2013 "bird_4306" "bird_4652" "family_149"
"KIP" NA "1" 2013 "bird_4147" "bird_4463" "family_148"
"KIP" 0 "2" 2013 "bird_4739" "bird_4129" "family_147"
"KIP" NA "2" 2013 "bird_4132" "bird_4738" "family_146"
"KIP" 0 "2" 2013 "bird_4124" "bird_4126" "family_145"
"KIP" 0 "2" 2013 "bird_4428" "bird_4427" "family_142"
"KIP" NA "2" 2013 "bird_4757" "bird_4749" "family_134"
"KIP" NA "2" 2013 "bird_4183" "bird_4280" "family_133"
"KIP" NA "2" 2013 "bird_4151" "bird_4157" "family_132"
"KIP" NA "2" 2013 "bird_4490" "bird_4557" "family_112"
"KIP" NA "2" 2013 "bird_4494" "bird_4519" "family_111"
