"chick_ID" "nest_ID" "population" "year" "male" "female"
"CA3635" "2010_S_22" "KPM" 2010 0 1
"CA3469" "2010_S_29" "KPM" 2010 0 1
"CA3471" "2010_S_53" "KPM" 2010 1 0
"CA3472" "2010_S_44" "KPM" 2010 0 1
"CA3473" "2010_S_29" "KPM" 2010 0 1
"CA3476" "2010_S_44" "KPM" 2010 0 1
"CA3481" "2010_S_90" "KPM" 2010 1 0
"CA3482" "2010_S_90" "KPM" 2010 0 1
"CA3487" "2010_S_50" "KPM" 2010 1 0
"CA3489" "2010_S_50" "KPM" 2010 1 0
"CA3766" "2012_S_211" "KPM" 2012 0 1
"CA3767" "2012_S_211" "KPM" 2012 1 0
"CA3768" "2012_S_211" "KPM" 2012 0 1
"CA3773" "2012_S_3" "KPM" 2012 0 1
"CA3777" "2012_S_7" "KPM" 2012 0 1
"CA3778" "2012_S_7" "KPM" 2012 0 1
"CA3779" "2012_S_7" "KPM" 2012 1 0
"CA3783" "2012_S_14" "KPM" 2012 1 0
"CA3784" "2012_S_14" "KPM" 2012 0 1
"CA3175" "2012_S_109" "KPM" 2012 1 0
"CA3176" "2012_S_109" "KPM" 2012 1 0
"CA3178" "2012_S_214" "KPM" 2012 0 1
"CA3788" "2012_S_210" "KPM" 2012 0 1
"CA3181" "2012_S_20" "KPM" 2012 0 1
"CA3182" "2012_S_20" "KPM" 2012 0 1
"CA3791" "2012_S_213" "KPM" 2012 0 1
"CA3797" "2012_S_44" "KPM" 2012 0 1
"CA3798" "2012_S_44" "KPM" 2012 0 1
"CA3799" "2012_S_44" "KPM" 2012 0 1
"CA3812" "2013_S_3" "KPM" 2013 1 0
"CA3813" "2013_S_3" "KPM" 2013 1 0
"CA3820" "2013_R_210" "KPM" 2013 0 1
"CA3824" "2013_R_1" "KPM" 2013 0 1
"CA3825" "2013_R_1" "KPM" 2013 0 1
"CA3829" "2013_S_22" "KPM" 2013 0 1
"CA3834" "2013_R_209" "KPM" 2013 0 1
"CA3835" "2013_R_209" "KPM" 2013 0 1
"CA3908" "2013_R_4" "KPM" 2013 1 0
"CA3841" "2013_S_28" "KPM" 2013 1 0
"CA3842" "2013_S_28" "KPM" 2013 1 0
"CA3844" "2013_R_218" "KPM" 2013 0 1
"CA3845" "2013_R_218" "KPM" 2013 1 0
"CA3847" "2013_S_26" "KPM" 2013 1 0
"CA3856" "2013_S_204" "KPM" 2013 1 0
"CA3857" "2013_S_27" "KPM" 2013 0 1
"CA3918" "2013_R_228" "KPM" 2013 0 1
"CA3919" "2013_R_228" "KPM" 2013 0 1
"CA4084" "2013_S_120" "KPM" 2013 1 0
"CA4085" "2013_S_120" "KPM" 2013 0 1
"CA4086" "2013_S_120" "KPM" 2013 0 1
"CA3926" "2013_R_222" "KPM" 2013 1 0
"CA3927" "2013_R_222" "KPM" 2013 1 0
"CA3928" "2013_R_222" "KPM" 2013 0 1
"CA4076" "2013_S_121" "KPM" 2013 1 0
"CA4072" "2013_S_42" "KPM" 2013 1 0
"CA4073" "2013_S_38" "KPM" 2013 1 0
"CA4197" "2014_R_101" "KPM" 2014 0 1
"CA4198" "2014_R_101" "KPM" 2014 0 1
"CA4105" "2014_S_5" "KPM" 2014 1 0
"CA4106" "2014_S_5" "KPM" 2014 0 1
"CA3890" "2014_R_201" "KPM" 2014 1 0
"CA4001" "2014_S_202" "KPM" 2014 0 1
"CA4110" "2014_S_202" "KPM" 2014 0 1
"CA4003" "2014_S_6" "KPM" 2014 0 1
"CA4004" "2014_S_6" "KPM" 2014 1 0
"CA4111" "2014_S_205" "KPM" 2014 0 1
"CA4112" "2014_S_205" "KPM" 2014 1 0
"CA4113" "2014_S_205" "KPM" 2014 0 1
"CA4115" "2014_S_104" "KPM" 2014 0 1
"CA4116" "2014_S_104" "KPM" 2014 0 1
"CA4119" "2014_R_2" "KPM" 2014 1 0
"CA4123" "2014_S_11" "KPM" 2014 1 0
"CA4129" "2014_S_301" "KPM" 2014 0 1
"CA4130" "2014_S_301" "KPM" 2014 0 1
"CA4131" "2014_S_103" "KPM" 2014 1 0
"CA4132" "2014_S_203" "KPM" 2014 1 0
"CA4133" "2014_S_210" "KPM" 2014 1 0
"CA4012" "2014_S_207" "KPM" 2014 1 0
"CA4013" "2014_S_206" "KPM" 2014 1 0
"CA4014" "2014_S_206" "KPM" 2014 1 0
"CA4134" "2014_S_206" "KPM" 2014 0 1
"CA4017" "2014_S_209" "KPM" 2014 1 0
"CA4018" "2014_S_214" "KPM" 2014 0 1
"CA4138" "2014_S_209" "KPM" 2014 1 0
"CA4141" "2014_S_214" "KPM" 2014 1 0
"CA4143" "2014_S_10" "KPM" 2014 1 0
"CA4144" "2014_S_219" "KPM" 2014 0 1
"CA4145" "2014_S_219" "KPM" 2014 1 0
"CA4148" "2014_R_202" "KPM" 2014 1 0
"CA4149" "2014_R_202" "KPM" 2014 1 0
"CA4150" "2014_S_7" "KPM" 2014 1 0
"CA4151" "2014_S_7" "KPM" 2014 1 0
"CA4154" "2014_R_106" "KPM" 2014 0 1
"CA4161" "2014_R_106" "KPM" 2014 0 1
"CA4169" "2014_S_220" "KPM" 2014 1 0
"CA4170" "2014_S_220" "KPM" 2014 1 0
"CA4171" "2014_S_220" "KPM" 2014 1 0
"CA4173" "2014_S_105" "KPM" 2014 1 0
"CA4174" "2014_S_105" "KPM" 2014 0 1
"CA4177" "2014_S_216" "KPM" 2014 1 0
"CA4178" "2014_S_216" "KPM" 2014 0 1
"CA4029" "2014_R_305" "KPM" 2014 0 1
"CA4030" "2014_R_305" "KPM" 2014 0 1
"CA3897" "2014_R_5" "KPM" 2014 0 1
"CA3939" "2015_S_4" "KPM" 2015 1 0
"CA4305" "2015_S_4" "KPM" 2015 0 1
"CA3946" "2015_R_5" "KPM" 2015 0 1
"CA3947" "2015_R_5" "KPM" 2015 0 1
"CA4360" "2015_R_101" "KPM" 2015 1 0
"CA4361" "2015_R_101" "KPM" 2015 0 1
"CA4362" "2015_R_101" "KPM" 2015 0 1
"CA3975" "2015_S_30" "KPM" 2015 0 1
"CA3976" "2015_S_30" "KPM" 2015 0 1
"CA3977" "2015_S_30" "KPM" 2015 1 0
"CA4369" "2015_R_11" "KPM" 2015 1 0
"CA4370" "2015_R_11" "KPM" 2015 0 1
"CA4371" "2015_R_11" "KPM" 2015 1 0
"CA3988" "2015_S_304" "KPM" 2015 1 0
"CA4379" "2015_R_12" "KPM" 2015 0 1
"CA4381" "2015_R_12" "KPM" 2015 1 0
"CA4226" "2015_S_41" "KPM" 2015 1 0
"CA4227" "2015_S_41" "KPM" 2015 1 0
"CA4056" "2015_S_325" "KPM" 2015 1 0
"CA4230" "2015_S_325" "KPM" 2015 1 0
"CA4231" "2015_S_325" "KPM" 2015 1 0
"24787" "1997_C_46" "KPT" 1997 0 1
"24788" "1997_C_46" "KPT" 1997 1 0
"24789" "1997_C_46" "KPT" 1997 1 0
"25003" "1997_D_40" "KPT" 1997 0 1
"25004" "1997_D_40" "KPT" 1997 0 1
"25005" "1997_D_40" "KPT" 1997 1 0
"24987" "1997_C_76" "KPT" 1997 1 0
"24988" "1997_C_76" "KPT" 1997 0 1
"24984" "1997_C_113" "KPT" 1997 1 0
"24985" "1997_C_113" "KPT" 1997 0 1
"24996" "1997_C_63" "KPT" 1997 0 1
"25000" "1997_C_63" "KPT" 1997 0 1
"25153" "1997_C_127" "KPT" 1997 0 1
"25154" "1997_C_127" "KPT" 1997 1 0
"25155" "1997_C_127" "KPT" 1997 1 0
"24997" "1997_C_131" "KPT" 1997 0 1
"24998" "1997_C_131" "KPT" 1997 1 0
"24999" "1997_C_131" "KPT" 1997 1 0
"25156" "1997_C_107" "KPT" 1997 1 0
"25159" "1997_C_107" "KPT" 1997 1 0
"25160" "1997_C_107" "KPT" 1997 0 1
"25248" "1998_D2_10" "KPT" 1998 1 0
"25351" "1998_D2_10" "KPT" 1998 0 1
"25352" "1998_D2_10" "KPT" 1998 1 0
"25356" "1998_D1_507" "KPT" 1998 1 0
"25357" "1998_D1_507" "KPT" 1998 0 1
"25360" "1998_C3_2" "KPT" 1998 0 1
"25361" "1998_C3_2" "KPT" 1998 0 1
"25362" "1998_C3_2" "KPT" 1998 0 1
"25254" "1998_C3_101" "KPT" 1998 1 0
"25255" "1998_C3_101" "KPT" 1998 0 1
"25256" "1998_C3_101" "KPT" 1998 0 1
"25258" "1998_C2_1" "KPT" 1998 1 0
"25378" "1998_D1_6" "KPT" 1998 0 1
"25379" "1998_D1_6" "KPT" 1998 1 0
"25380" "1998_D1_6" "KPT" 1998 0 1
"25264" "1998_C1_3" "KPT" 1998 1 0
"25386" "1998_C1_3" "KPT" 1998 0 1
"25387" "1998_C1_3" "KPT" 1998 1 0
"25261" "1998_C2_1" "KPT" 1998 0 1
"25262" "1998_C2_1" "KPT" 1998 1 0
"25383" "1998_D2_8" "KPT" 1998 1 0
"25384" "1998_D2_8" "KPT" 1998 0 1
"25385" "1998_D2_8" "KPT" 1998 1 0
"25405" "1998_C1_103" "KPT" 1998 0 1
"25406" "1998_C1_103" "KPT" 1998 0 1
"25407" "1998_C1_103" "KPT" 1998 0 1
"25408" "1998_D2_12" "KPT" 1998 0 1
"25409" "1998_D2_12" "KPT" 1998 0 1
"25412" "1998_D3_7" "KPT" 1998 0 1
"25413" "1998_D3_7" "KPT" 1998 1 0
"25414" "1998_D3_7" "KPT" 1998 1 0
"25275" "1998_C1_116" "KPT" 1998 0 1
"25278" "1998_C1_116" "KPT" 1998 1 0
"25279" "1998_C1_116" "KPT" 1998 0 1
"25282" "1998_B3_101" "KPT" 1998 1 0
"25435" "1998_B3_101" "KPT" 1998 1 0
"25439" "1998_B3_101" "KPT" 1998 0 1
"25436" "1998_D3_8" "KPT" 1998 1 0
"25437" "1998_D3_8" "KPT" 1998 0 1
"25438" "1998_D3_8" "KPT" 1998 1 0
"25285" "1998_C2_106" "KPT" 1998 1 0
"25286" "1998_C2_106" "KPT" 1998 1 0
"25287" "1998_C2_106" "KPT" 1998 1 0
"25444" "1998_B1_2" "KPT" 1998 0 1
"25445" "1998_B1_2" "KPT" 1998 1 0
"25448" "1998_B1_2" "KPT" 1998 0 1
"25289" "1998_C2_109" "KPT" 1998 0 1
"25290" "1998_C3_5" "KPT" 1998 0 1
"25449" "1998_C3_5" "KPT" 1998 1 0
"25450" "1998_C3_5" "KPT" 1998 1 0
"4256" "1998_B3_6" "KPT" 1998 1 0
"4262" "1998_B3_6" "KPT" 1998 0 1
"4263" "1998_B3_6" "KPT" 1998 0 1
"4257" "1998_C1_9" "KPT" 1998 0 1
"4258" "1998_C1_9" "KPT" 1998 0 1
"4259" "1998_C1_9" "KPT" 1998 0 1
"25292" "1998_C2_109" "KPT" 1998 1 0
"4294" "1998_B1_1" "KPT" 1998 0 1
"4297" "1998_B1_1" "KPT" 1998 1 0
"4298" "1998_B1_1" "KPT" 1998 0 1
"25303" "1998_C2_10" "KPT" 1998 0 1
"25304" "1998_C2_10" "KPT" 1998 1 0
"25307" "1998_C2_10" "KPT" 1998 1 0
"25305" "1998_C2_117" "KPT" 1998 1 0
"25306" "1998_C2_117" "KPT" 1998 1 0
"4291" "1998_D1_9" "KPT" 1998 0 1
"4292" "1998_D1_9" "KPT" 1998 1 0
"4293" "1998_D1_9" "KPT" 1998 1 0
"4299" "1998_B2_3" "KPT" 1998 0 1
"25310" "1998_C1_6" "KPT" 1998 1 0
"25311" "1998_C1_6" "KPT" 1998 0 1
"4303" "1998_B2_3" "KPT" 1998 0 1
"4304" "1998_B2_3" "KPT" 1998 1 0
"4301" "1998_C3_9" "KPT" 1998 0 1
"4305" "1998_C3_9" "KPT" 1998 1 0
"4306" "1998_C3_9" "KPT" 1998 0 1
"25313" "1998_C1_105" "KPT" 1998 1 0
"25314" "1998_C1_105" "KPT" 1998 0 1
"25315" "1998_C1_105" "KPT" 1998 0 1
"4315" "1998_D1_18" "KPT" 1998 0 1
"4316" "1998_D1_18" "KPT" 1998 1 0
"4317" "1998_D1_18" "KPT" 1998 1 0
"25318" "1998_C2_123" "KPT" 1998 0 1
"25319" "1998_C2_123" "KPT" 1998 0 1
"25320" "1998_C2_123" "KPT" 1998 0 1
"25321" "1998_C2_133" "KPT" 1998 0 1
"25322" "1998_C2_133" "KPT" 1998 1 0
"25323" "1998_C2_133" "KPT" 1998 0 1
"4329" "1998_C2_120" "KPT" 1998 0 1
"25324" "1998_C2_120" "KPT" 1998 1 0
"25325" "1998_C2_120" "KPT" 1998 1 0
"4334" "1998_D1_20" "KPT" 1998 0 1
"4335" "1998_D1_20" "KPT" 1998 0 1
"4336" "1998_D1_20" "KPT" 1998 0 1
"4337" "1998_B1_4" "KPT" 1998 1 0
"4338" "1998_B1_4" "KPT" 1998 1 0
"4339" "1998_B1_4" "KPT" 1998 1 0
"4341" "1998_B3_13" "KPT" 1998 0 1
"4342" "1998_B3_13" "KPT" 1998 1 0
"4343" "1998_B3_13" "KPT" 1998 1 0
"4349" "1998_D1_23" "KPT" 1998 0 1
"4350" "1998_D1_23" "KPT" 1998 0 1
"4353" "1998_B1_5" "KPT" 1998 0 1
"4354" "1998_B1_5" "KPT" 1998 0 1
"4355" "1998_B1_5" "KPT" 1998 0 1
"25333" "1998_C2_132" "KPT" 1998 0 1
"4357" "1998_C1_120" "KPT" 1998 1 0
"25334" "1998_C1_120" "KPT" 1998 0 1
"25337" "1998_C1_120" "KPT" 1998 1 0
"25335" "1998_C2_132" "KPT" 1998 1 0
"25336" "1998_C2_132" "KPT" 1998 1 0
"25339" "1998_C2_128" "KPT" 1998 1 0
"25340" "1998_C2_128" "KPT" 1998 1 0
"25341" "1998_C2_128" "KPT" 1998 0 1
"25343" "1998_C3_105" "KPT" 1998 0 1
"25344" "1998_C3_105" "KPT" 1998 0 1
"4368" "1998_C3_11" "KPT" 1998 0 1
"4369" "1998_C3_11" "KPT" 1998 0 1
"4370" "1998_C3_11" "KPT" 1998 0 1
"25348" "1998_C2_129" "KPT" 1998 0 1
