"ring"	"ch"	"sex"	"age"
"DJ24906"	"011100"	"F"	"A"
"DJ24910"	"010000"	"M"	"A"
"DJ24912"	"011000"	"M"	"A"
"DJ24914"	"011000"	"M"	"A"
"DJ24915"	"010000"	"F"	"A"
"DJ24922"	"011110"	"M"	"A"
"DJ24923"	"011100"	"F"	"A"
"DJ24928"	"011000"	"F"	"A"
"DJ24929"	"010100"	"M"	"A"
"DJ24933"	"010000"	"M"	"A"
"DJ24937"	"011000"	"F"	"A"
"DJ24941"	"011110"	"M"	"A"
"DJ24942"	"010000"	"F"	"A"
"DJ24946"	"011110"	"M"	"A"
"DJ24948"	"011000"	"F"	"A"
"DJ24949"	"011100"	"M"	"A"
"DJ24949"	"011100"	"M"	"A"
"DJ24949"	"011100"	"M"	"A"
"DJ24950"	"011000"	"F"	"A"
"DJ24951"	"010000"	"M"	"A"
"DJ24952"	"011000"	"F"	"A"
"DJ24953"	"010000"	"M"	"A"
"DJ24954"	"010000"	"M"	"A"
"DJ24955"	"010000"	"F"	"A"
"DJ24956"	"010000"	"M"	"A"
"DJ24957"	"010100"	"M"	"J"
"DJ24960"	"010000"	"F"	"A"
"DJ24961"	"010000"	"F"	"A"
"DJ24963"	"010000"	"M"	"A"
"DJ24964"	"010000"	"F"	"A"
"DJ24964"	"010000"	"F"	"A"
"DJ24964"	"010000"	"F"	"A"
"DJ24965"	"011010"	"M"	"A"
"DJ24966"	"010000"	"F"	"J"
"DJ24967"	"010000"	"F"	"A"
"DJ24968"	"010000"	"M"	"A"
"DJ24969"	"010000"	"M"	"A"
"DJ24970"	"011000"	"F"	"A"
"DJ24971"	"010000"	"M"	"A"
"DJ24972"	"010000"	"M"	"A"
"DJ24972"	"010000"	"M"	"A"
"DJ24973"	"010000"	"F"	"A"
"DJ24973"	"010000"	"F"	"A"
"DJ24974"	"010000"	"F"	"J"
"DJ24975"	"010000"	"M"	"A"
"DJ24975"	"010000"	"M"	"A"
"DJ24976"	"010000"	"F"	"J"
"DJ24978"	"010100"	"F"	"A"
"DJ24979"	"010110"	"M"	"J"
"DJ24980"	"011000"	"M"	"A"
"DJ24981"	"010000"	"M"	"A"
"DJ24982"	"011000"	"F"	"A"
"DJ24983"	"010000"	"M"	"A"
"DJ24984"	"010000"	"M"	"J"
"DJ24985"	"010000"	"F"	"J"
"DJ24986"	"010110"	"M"	"J"
"DJ24987"	"010100"	"M"	"J"
"DJ24988"	"010100"	"F"	"J"
"DJ24989"	"011100"	"F"	"A"
"DJ24989"	"011100"	"F"	"A"
"DJ24989"	"011100"	"F"	"A"
"DJ24990"	"010000"	"F"	"A"
"DJ24991"	"011100"	"F"	"A"
"DJ24992"	"010000"	"M"	"A"
"DJ24993"	"010000"	"M"	"A"
"DJ24994"	"011100"	"M"	"A"
"DJ24995"	"010110"	"M"	"J"
"DJ24996"	"010000"	"F"	"J"
