"population" "no_chicks" "clutch_size" "ID" "year" "male" "female"
"KIP" 0 "2" "KIP_2014_305" "2014" "FH72724" "FH72714"
"KIP" NA "2" "KIP_2014_303" "2014" "FH72721" "FH72713"
"KIP" NA "2" "KIP_2014_302" "2014" "FH72702" "FH72701"
"KIP" NA "2" "KIP_2014_301" "2014" "FH72630" "FH72631"
"WFP" 0 "3" "WFP_2013_207" "2013" "FH47621" "FH47637"
"WFP" 0 "3" "WFP_2013_205" "2013" "FH47144" "FH69169"
"WFP" NA "3" "WFP_2013_120" "2013" "FH69209" "FH47947"
"WFP" 0 "2" "WFP_2013_116" "2013" "FH68916" "FH47617"
"WFP" 0 "2" "WFP_2013_114" "2013" "FH47094" "FH47988"
"WFP" NA "2" "WFP_2013_113" "2013" "FH68979" "FH69288"
"WFP" 2 "2" "WFP_2013_102" "2013" "FH68864" "FH47370"
"WFP" 2 "2" "WFP_2013_71" "2013" "FH72425" "FH69110"
"WFP" NA "2" "WFP_2013_69" "2013" "FH72407" "FH69208"
"WFP" 0 "1" "WFP_2013_68" "2013" "FH72401" "FH72402"
"WFP" 0 "2" "WFP_2013_67" "2013" "FH72397" "FH69211"
"WFP" 3 "3" "WFP_2013_65" "2013" "FH69233" "FH69256"
"WFP" 0 "2" "WFP_2013_64" "2013" "FH72252" "FH72378"
"WFP" 0 "2" "WFP_2013_60" "2013" "FH72336" "FH72335"
"WFP" 0 "3" "WFP_2013_57" "2013" "FH47981" "FH72319"
"WFP" 1 "2" "WFP_2013_48" "2013" "FH72249" "FH47387"
"WFP" 1 "2" "WFP_2013_44" "2013" "FH72173" "FH72313"
"WFP" NA "2" "WFP_2013_28" "2013" "FH68777" "FH68778"
"WFP" 1 "1" "WFP_2013_27" "2013" "FH68772" "FH68773"
"WFP" 3 "3" "WFP_2013_5" "2013" "FH69233" "FH47993"
"WFP" 0 "2" "WFP_2013_3" "2013" "FH68867" "FH68704"
"MP" NA "1" "MP_2013_210" "2013" "FH47607" "FH68993"
"MP" 0 "2" "MP_2013_209" "2013" "FH47165" "FH47488"
"MP" NA "2" "MP_2013_207" "2013" "FH47944" "FH47367"
"MP" 0 "1" "MP_2013_201" "2013" "FH47160" "FH47040"
"MP" NA NA "MP_2013_102" "2013" "FH47160" "FH47040"
"MP" 2 "2" "MP_2013_44" "2013" "FH72405" "FH72304"
"MP" NA "2" "MP_2013_42" "2013" "FH72367" "FH72191"
"MP" NA "2" "MP_2013_39" "2013" "FH72116" "FH47161"
"MP" 0 "2" "MP_2013_34" "2013" "FH47189" "FH47595"
"MP" NA "2" "MP_2013_27" "2013" "FH17819" "FH17885"
"MP" 2 "2" "MP_2013_26" "2013" "FH72202" "FH68776"
"MP" 2 "2" "MP_2013_24" "2013" "FH72247" "FH68999"
"MP" 2 "2" "MP_2013_15" "2013" "FH68888" "FH68918"
"MP" NA "2" "MP_2013_10" "2013" "FH68779" "FH17841"
"MP" 2 "2" "MP_2013_9" "2013" "FH47506" "FH68795"
"MP" 2 "2" "MP_2013_8" "2013" "FH68799" "FH68800"
"MP" 1 "2" "MP_2013_2" "2013" "FH47441" "FH47521"
"MP" 1 "2" "MP_2013_1" "2013" "FH47052" "FH47060"
"KIP" 2 "2" "KIP_2013_384" "2013" "FH72454" "FH72433"
"KIP" 2 "2" "KIP_2013_382" "2013" "FH72327" "FH72308"
"KIP" 0 "2" "KIP_2013_375" "2013" "FH72172" "FH72296"
"KIP" 1 "2" "KIP_2013_372" "2013" "FH72155" "FH72151"
"KIP" NA "2" "KIP_2013_366" "2013" "FH72136" "FH72129"
"KIP" 1 "2" "KIP_2013_358" "2013" "FH72168" "FH72119"
"KIP" 0 "1" "KIP_2013_345" "2013" "FH47801" "FH69058"
"KIP" NA "1" "KIP_2013_344" "2013" "FH47333" "FH68848"
"KIP" 0 "2" "KIP_2013_337" "2013" "FH72107" "FH47186"
"KIP" NA "2" "KIP_2013_335" "2013" "FH47190" "FH72106"
"KIP" 0 "2" "KIP_2013_333" "2013" "FH47180" "FH47182"
"KIP" 0 "2" "KIP_2013_311" "2013" "FH68787" "FH68786"
"KIP" NA "2" "KIP_2013_219" "2013" "FH72128" "FH72118"
"KIP" NA "2" "KIP_2013_206" "2013" "FH47485" "FH47651"
"KIP" NA "2" "KIP_2013_205" "2013" "FH47356" "FH47368"
"KIP" NA "2" "KIP_2013_134" "2013" "FH68875" "FH68945"
"KIP" NA "2" "KIP_2013_131" "2013" "FH68879" "FH68905"
"KIP" NA NA "KIP_2013_129" "2013" "FH68984" "FH47395"
"KIP" 2 "2" "KIP_2013_108" "2013" "FH68943" "FH68891"
"KIP" 0 "2" "KIP_2013_104" "2013" "FH68728" "FH68727"
"KIP" 2 "2" "KIP_2013_97" "2013" "FH72135" "FH72130"
"KIP" NA "2" "KIP_2013_79" "2013" "FH47065" "FH47042"
"KIP" 0 "2" "KIP_2013_50" "2013" "FH47671" "FH47156"
"KIP" 1 "1" "KIP_2013_38" "2013" "FH68840" "FH68723"
"KIP" 2 "2" "KIP_2013_33" "2013" "FH68902" "FH68724"
"KIP" 2 "2" "KIP_2013_29" "2013" "FH68962" "FH68708"
"KIP" NA "2" "KIP_2013_27" "2013" "FH68770" "FH47384"
"KIP" 1 "2" "KIP_2013_25" "2013" "FH47466" "FH68706"
"KIP" 0 "2" "KIP_2013_23" "2013" "FH68712" "FH47432"
"KIP" 1 "2" "KIP_2013_20" "2013" "FH69131" "FH47352"
"KIP" 2 "2" "KIP_2013_19" "2013" "FH68850" "FH47071"
"KIP" NA "2" "KIP_2013_17" "2013" "FH17877" "FH68869"
"KIP" 1 "1" "KIP_2013_15" "2013" "FH68883" "FH47495"
"KIP" NA "2" "KIP_2013_14" "2013" "FH17877" "FH47045"
"KIP" 0 "2" "KIP_2013_10" "2013" "FH47439" "FH47155"
"KIP" 2 "2" "KIP_2013_9" "2013" "FH47662" "FH47677"
"KIP" 1 "2" "KIP_2013_7" "2013" "FH47418" "FH47480"
"KIP" 2 "2" "KIP_2013_6" "2013" "FH47059" "FH47669"
"KIP" 2 "2" "KIP_2013_5" "2013" "FH68763" "FH47194"
"KIP" 2 "2" "KIP_2013_4" "2013" "FH47679" "FH47493"
"KIP" 2 "2" "KIP_2013_1" "2013" "FH68822" "FH47459"
"WFP" NA "2" "WFP_2012_108" "2012" "FH68867" "FH68868"
"WFP" 0 "3" "WFP_2012_104" "2012" "FH69072" "FH69034"
"WFP" NA "2" "WFP_2012_102" "2012" "FH69227" "FH69253"
"WFP" NA "2" "WFP_2012_101" "2012" "FH69053" "FH69045"
"WFP" 1 "2" "WFP_2012_38" "2012" "FH47110" "FH47109"
"WFP" NA "2" "WFP_2012_37" "2012" "FH47122" "FH47121"
"WFP" 0 "2" "WFP_2012_36" "2012" "FH68864" "FH68861"
"WFP" NA "2" "WFP_2012_29" "2012" "FH68851" "FH69137"
"WFP" 0 "2" "WFP_2012_26" "2012" "FH68830" "FH17861"
"WFP" 1 "2" "WFP_2012_23" "2012" "FH69078" "FH69108"
"WFP" NA "3" "WFP_2012_19" "2012" "FH69263" "FH47270"
"WFP" 1 "3" "WFP_2012_14" "2012" "FH69233" "FH69256"
"KIP" NA "2" "KIP_2012_118" "2012" "FH47105" "FH68862"
"KIP" NA "2" "KIP_2012_116" "2012" "FH68859" "FH68855"
"KIP" 0 "2" "KIP_2012_64" "2012" "FH47329" "FH47112"
"KIP" 0 "2" "KIP_2012_59" "2012" "FH68860" "FH68852"
"KIP" NA "2" "KIP_2012_31" "2012" "FH69016" "FH69006"
"KIP" NA "2" "KIP_2012_23" "2012" "FH69024" "FH69021"
"KIP" NA "2" "KIP_2012_22" "2012" "FH69073" "FH69033"
"KIP" NA "2" "KIP_2012_21" "2012" "FH69069" "FH69063"
"WFP" NA "2" "WFP_2010_312" "2010" "FH47546" "FH47547"
"MP" NA "2" "MP_2010_306" "2010" "FH47542" "FH17770"
"KIP" NA "2" "KIP_2010_313" "2010" "FH47548" "FH47550"
"KIP" NA "2" "KIP_2010_242" "2010" "FH47573" "FH47571"
"KIP" 0 "2" "KIP_2010_239" "2010" "FH47634" "FH47557"
"KIP" 0 "2" "KIP_2010_233" "2010" "FH47583" "FH47584"
"KIP" 0 "2" "KIP_2010_227" "2010" "FH47594" "FH47593"
"KIP" 0 "2" "KIP_2010_215" "2010" "FH47811" "FH47696"
"KIP" NA "2" "KIP_2010_214" "2010" "FH47612" "FH47695"
"KIP" 0 "2" "KIP_2010_33" "2010" "FH47535" "FH47536"
"KIP" 0 "2" "KIP_2010_32" "2010" "FH47814" "FH47344"
"KIP" 0 "2" "KIP_2010_28" "2010" "FH47540" "FH47541"
"KIP" 0 "2" "KIP_2010_26" "2010" "FH47553" "FH47552"
"KIP" 0 "1" "KIP_2010_23" "2010" "FH47555" "FH47556"
"KIP" 0 "2" "KIP_2010_22" "2010" "FH47562" "FH47561"
"KIP" NA "2" "KIP_2010_21" "2010" "FH47563" "FH47564"
"KIP" NA "2" "KIP_2010_20" "2010" "FH47560" "FH47559"
"KIP" 0 "1" "KIP_2010_19" "2010" "FH47812" "FH47898"
"KIP" 0 "2" "KIP_2010_17" "2010" "FH47567" "FH47568"
"KIP" 0 "2" "KIP_2010_16" "2010" "FH47808" "FH47807"
"KIP" 0 "2" "KIP_2010_13" "2010" "FH47574" "FH47575"
"KIP" 0 "2" "KIP_2010_11" "2010" "FH47589" "FH47588"
"KIP" 0 "2" "KIP_2010_9" "2010" "FH47803" "FH47900"
"KIP" 0 "2" "KIP_2010_1" "2010" "FH47606" "FH47605"
"KIP" NA "2" "KIP_2009_2" "2009" "FH17877" "FH47045"
"KPT" 3 "3" "1996_A_1" "1996" "83614" "83616"
