year,site,nest,laying_date,hatching_date,parent1,parent2,parent3,chick1,chick2,chick3,species,comments
2014,Andavadoaka,-308,,,,,,FH72761,,,KiP,
2014,Andavadoaka,-307,,,FH17877,,,FH72755,FH72756,,KiP,
2014,Andavadoaka,-306,,,FH72754,,,FH72752,FH72753,,KiP,
2014,Andavadoaka,-305,,,,,,FH72751,,,KiP,
2014,Andavadoaka,-304,,,FH72746,,,FH72745,,,KiP,
2014,Andavadoaka,-304,,,,,,FH72763,FH72764,,MP,
2014,Andavadoaka,-303,,,,,,FH72743,,,KiP,
2014,Andavadoaka,-303,,,FH17846,,,FH72757,FH72758,,MP,
2014,Andavadoaka,-302,,,FH72738,,,FH72737,,,KiP,
2014,Andavadoaka,-302,,,FH72704,FH72706,,FH72707,FH72708,,MP,
2014,Andavadoaka,-302,,,FH47913,FH72711,,FH72712,,,WfP,
2014,Andavadoaka,-301,,,FH72709,,,FH72710,,,KiP,
2014,Andavadoaka,-301,,,FH72633,FH72636,,FH72634,FH72635,,MP,
2014,Andavadoaka,-301,,,,,,FH72705,,,WfP,
2014,Andavadoaka,-201,,,,,,FH72491,FH72616,,KiP,
2014,Andavadoaka,-201,,,,,,FH72614,,,MP,
2014,Andavadoaka,-112,,,,,,FH72562,FH72563,,KiP,
2014,Andavadoaka,-111,,,,,,FH72560,,,KiP,
2014,Andavadoaka,-27,,,,,,FH72932,,,KIP,
2014,Andavadoaka,-26,,,FH72926,,,FH72927,FH72929,,KIP,
2014,Andavadoaka,-25,,,FH72923,,,FH72924,FH72925,,KIP,
2014,Andavadoaka,-24,,,,,,FH72799,FH72800,,KIP,
2014,Andavadoaka,-23,,,FH72893,,,FH72894,,,KIP,
2014,Andavadoaka,-22,,,FH72885,,,FH72886,FH72887,,KIP,
2014,Andavadoaka,-21,,,,,,FH72878,,,KIP,
2014,Andavadoaka,-20,,,,,,FH72869,,,KIP,
2014,Andavadoaka,-19,,,FH72883,,,FH72875,,,KIP,
2014,Andavadoaka,-18,,,FH73051,,,FH72872,FH72873,,KiP,
2014,Andavadoaka,-18,,,,,,FH72874,,,KIP,
